index,z,quantity,observed,lcdm_prediction,lcdm_residual,lcdm_whitened_component,cpl_prediction,cpl_residual,cpl_whitened_component
0,0.295,DV_over_rs,7.94167639,7.902458348150979,-0.039218041849020224,-0.5154032065694867,7.986591208006005,0.0449148180060055,0.5902701953325211
1,0.51,DM_over_rs,13.58758434,13.256726025249797,-0.330858314750202,-1.9651044312726944,13.338735571899875,-0.24884876810012457,-1.4780158004477268
2,0.51,DH_over_rs,21.86294686,22.468702808737127,0.6057559487371265,0.5884980820292017,21.88044374436822,0.01749688436821728,-0.702302926683093
3,0.706,DM_over_rs,17.35069094,17.41429964885898,0.06360870885897896,0.35351679710956374,17.409921769942315,0.05923082994231521,0.3291859505869026
4,0.706,DH_over_rs,19.45534918,19.998913497450836,0.5435643174508371,1.9245144176773505,19.71410862913428,0.2587594491342813,0.9853831730640377
5,0.934,DM_over_rs,21.57563956,21.679018456847583,0.10337889684758395,0.6390028639336073,21.64505222893624,0.06941266893624132,0.429051727152089
6,0.934,DH_over_rs,17.64149464,17.475607300796785,-0.1658873392032163,-0.6432748236204787,17.47454060963577,-0.16695403036423073,-0.7266717179020743
7,1.321,DM_over_rs,27.60085612,27.74506662962302,0.14421050962302218,0.44433184153877753,27.75021612068703,0.14936000068702882,0.46019811129566823
8,1.321,DH_over_rs,14.17602155,14.040578714195815,-0.13544283580418437,-0.4646293387915484,14.188023979151593,0.012002429151593219,0.25812969374471945
9,1.484,DM_over_rs,30.51190063,29.936394175496158,-0.5755064545038415,-0.7537171009810022,29.96513117312674,-0.5467694568732604,-0.7160814387299284
10,1.484,DH_over_rs,12.81699964,12.871259327022187,0.05425968702218675,-0.3072871019008853,13.009476369686045,0.19247672968604412,0.020862872161717953
11,2.33,DH_over_rs,8.631545674846294,8.636543646558339,0.004997971712045413,0.049454288563584956,8.636143174469881,0.004597499623587353,0.04549166865188449
12,2.33,DM_over_rs,38.988973961958784,38.85223808232454,-0.13673587963424438,-0.2613547866845637,38.937700233290876,-0.05127372866790836,-0.08514601624121683
