suite,dt,final_relative_state_error,trajectory_rms_error,invariant_drift,order
standard,0.04,1.476917571810801e-06,2.173489133038152e-06,3.6652873326437074e-06,
standard,0.02,3.692236591159902e-07,5.434155723966709e-07,9.163215816121451e-07,2.0000224040723076
standard,0.01,9.230488983027812e-08,1.3585969254062944e-07,2.290795599879658e-07,2.0000160195221275
standard,0.005,2.3076794367711984e-08,3.396598365114716e-08,5.727039897873709e-08,1.9999642453740558
drl,0.04,4.7834140719302596e-06,5.377586456057185e-07,5.268092021968283e-09,
drl,0.02,1.1958544729684402e-06,1.3442250800433128e-07,1.3170581534427015e-09,1.9999988478916395
drl,0.01,2.9895843820460835e-07,3.360280070816367e-08,3.292722445071873e-10,2.000024997286302
drl,0.005,7.473683556832308e-08,8.400024610280117e-09,8.234911704093056e-11,2.0000535470490775
